"","Category","count","review","rating","install","Type"
"1","ART_AND_DESIGN",61,28104.4426229508,4.34754098360656,2036606.55737705,0.950819672131147
"2","AUTO_AND_VEHICLES",69,16840.3768115942,4.19710144927536,767807.246376812,0.985507246376812
"3","BEAUTY",41,8854.70731707317,4.28780487804878,632102.43902439,1
"4","BOOKS_AND_REFERENCE",136,159089.5,4.32720588235294,13997172.7941176,0.985294117647059
"5","BUSINESS",244,56914.7213114754,4.14713114754098,4093411.35245902,0.963114754098361
"6","COMICS",52,64976.0961538462,4.12692307692308,1074328.84615385,1
"7","COMMUNICATION",277,2933554.50541516,4.15884476534296,117577048.086643,0.953068592057762
"8","DATING",184,39585.8315217391,3.94565217391304,1429800.05434783,0.978260869565217
"9","EDUCATION",136,290456.029411765,4.42279411764706,6354132.35294118,0.970588235294118
"10","ENTERTAINMENT",144,409381.944444444,4.12986111111111,19702500,0.986111111111111
"11","EVENTS",37,4181.16216216216,4.34864864864865,428324.324324324,1
"12","FAMILY",1342,297338.114008942,4.18882265275708,7295059.63487332,0.928464977645306
"13","FINANCE",302,58037.3841059603,4.12119205298013,2896764.40397351,0.963576158940397
"14","FOOD_AND_DRINK",105,84184.5142857143,4.14666666666667,2597834.28571429,0.980952380952381
"15","GAME",895,1736814.2547486,4.31329608938548,38390389.0726257,0.950837988826816
"16","HEALTH_AND_FITNESS",257,146009.618677043,4.29105058365759,6086147.50972763,0.964980544747082
"17","HOUSE_AND_HOME",66,59747.5151515152,4.22878787878788,2474727.27272727,1
"18","LIBRARIES_AND_DEMO",51,8847.05882352941,4.1843137254902,348647.058823529,1
"19","LIFESTYLE",236,53322.5042372881,4.00635593220339,2125263.98305085,0.936440677966102
"20","MAPS_AND_NAVIGATION",115,264104.147826087,4.0704347826087,6210577.91304348,0.965217391304348
"21","MEDICAL",268,5818.97014925373,4.14291044776119,194091.455223881,0.776119402985075
"22","NEWS_AND_MAGAZINES",209,259930.746411483,4.11100478468899,35850095.4545455,0.990430622009569
"23","PARENTING",46,20706.0869565217,4.35434782608696,675130.434782609,0.978260869565217
"24","PERSONALIZATION",205,424806.746341463,4.36926829268293,10757253.4634146,0.839024390243902
"25","PHOTOGRAPHY",269,784721.695167286,4.19888475836431,36983316.802974,0.951672862453532
"26","PRODUCTIVITY",281,400364.622775801,4.2355871886121,50043434.911032,0.96797153024911
"27","SHOPPING",224,513555.227678571,4.25178571428571,14497768.7946429,0.991071428571429
"28","SOCIAL",229,2710281.53275109,4.25196506550218,61292089.0829694,0.991266375545852
"29","SPORTS",288,239706.065972222,4.22361111111111,6010647.58680556,0.944444444444444
"30","TOOLS",558,485353.992831541,4.05340501792115,19882723.1362007,0.935483870967742
"31","TRAVEL_AND_LOCAL",204,306244.181372549,4.11813725490196,33561245.5882353,0.970588235294118
"32","VIDEO_PLAYERS",129,847480.457364341,4.11782945736434,46657299.2248062,0.968992248062015
"33","WEATHER",66,220674.363636364,4.27878787878788,6390840.90909091,0.909090909090909
